BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-14,АбрауДюрсо,ABRD,532.0,8333160.0,171.5,169.0,174.0,172.5,172.0,172.5,48480.0,172.0,172.0,172.5,8333160.0,8333160.0,8333160.0,0.0,3
TQBR,2022-10-14,Система ао,AFKS,6926.0,138193164.9,11.07,10.85,11.095,10.973,10.968,10.99,12599600.0,10.968,10.968,10.973,129110257.0,129110257.0,129110257.0,0.0,3
SMAL,2022-10-14,Аэрофлот,AFLT,3.0,91.36,23.68,22.4,23.68,,23.42,22.4,4.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Аэрофлот,AFLT,4995.0,45773659.6,23.6,23.26,23.6,23.44,23.42,23.48,1955090.0,23.4,23.4,23.44,41758362.4,41758362.4,41758362.4,0.0,3
TQBR,2022-10-14,AGRO-гдр,AGRO,2072.0,15636059.4,787.4,785.2,800.6,798.4,795.0,798.4,19667.0,795.0,795.0,798.4,15636059.4,15636059.4,15636059.4,0.0,3
TQTF,2022-10-14,AKGD ETF,AKGD,641.0,46672152.48,77.91,76.0,80.0,78.1,76.29,78.0,612012.0,76.26,76.26,78.1,46672152.48,46672152.48,46672152.48,26838182.65,3
TQTF,2022-10-14,ETF AKMB,AKMB,7177.0,2659181.19,1.1817,1.1753,1.19,1.1821,1.1826,1.1813,2249869.0,1.1819,1.1819,1.1821,2659181.19,2659181.19,2659181.19,7985227.9,3
TQTF,2022-10-14,ETF AKME,AKME,241.0,166758.14,77.08,75.9,77.88,76.94,77.76,76.98,2163.0,,77.1,76.94,0.0,500256.72,0.0,3036913.37,3
TQTF,2022-10-14,AKMM ETF,AKMM,50.0,40187627.13,101.88,101.84,101.99,101.9,101.9,101.9,394383.0,101.9,101.9,101.9,40187627.13,40187627.13,40187627.13,17879185.72,3
TQBR,2022-10-14,Акрон,AKRN,377.0,13325704.0,14920.0,14538.0,14946.0,14670.0,14708.0,14670.0,906.0,14708.0,14708.0,14670.0,13325704.0,13325704.0,13325704.0,0.0,3
TQTF,2022-10-14,ETF AKSC,AKSC,27.0,13864.42,35.22,33.14,35.22,33.18,34.4,33.14,412.0,,34.14,33.18,0.0,529737.29,0.0,165525.76,3
TQTF,2022-10-14,AKVG ETF,AKVG,31.0,19731.32,35.94,33.7,35.96,33.86,34.64,33.84,575.0,,32.64,33.86,0.0,902534.1,0.0,207362.83,3
SMAL,2022-10-14,АЛРОСА ао,ALRS,2.0,296.64,74.19,74.13,74.19,,66.55,74.13,4.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,АЛРОСА ао,ALRS,14903.0,247928165.7,66.5,66.2,66.96,66.65,66.55,66.73,3725670.0,66.53,66.53,66.65,203157662.5,203157662.5,203157662.5,0.0,3
TQBR,2022-10-14,АшинскийМЗ,AMEZ,221.0,1799621.5,24.3,24.155,24.64,24.64,24.42,24.64,73700.0,24.42,24.42,24.64,1799621.5,1799621.5,1799621.5,0.0,3
TQTF,2022-10-14,AMRE ETF,AMRE,98.0,1041372.0,68.8,64.8,68.8,66.0,64.8,66.0,16062.0,64.8,64.8,66.0,1041372.0,1041372.0,1041372.0,424782.53,3
TQTF,2022-10-14,AMRH ETF,AMRH,6.0,1008.78,100.98,99.96,100.98,100.98,100.88,100.98,10.0,,101.82,100.98,0.0,1469009.04,0.0,500191.51,3
TQBR,2022-10-14,Аптеки36и6,APTK,2640.0,9129706.24,11.396,11.094,12.142,11.41,11.58,11.41,788430.0,11.58,11.58,11.41,9129706.24,9129706.24,9129706.24,0.0,3
TQBR,2022-10-14,ИНАРКТИКА,AQUA,2055.0,19171347.5,557.5,541.5,558.5,548.0,548.5,548.0,34949.0,548.5,548.5,548.0,19171347.5,19171347.5,19171347.5,0.0,3
TQBR,2022-10-14,Арсагера,ARSA,17.0,75226.0,5.03,5.03,5.09,5.06,5.05,5.06,14900.0,,5.07,5.06,0.0,501652.0,0.0,0.0,3
TQBR,2022-10-14,АстрЭнСб,ASSB,13.0,22629.0,0.6845,0.683,0.6915,0.688,0.6855,0.688,33000.0,,0.6915,0.688,0.0,515863.0,0.0,0.0,3
TQBR,2022-10-14,Авангрд-ао,AVAN,815.0,2779960.0,860.0,835.0,995.0,970.0,960.0,970.0,2900.0,960.0,960.0,970.0,2779960.0,2779960.0,2779960.0,0.0,3
TQBR,2022-10-14,Башнефт ао,BANE,678.0,5559523.5,830.0,815.0,844.0,822.5,826.0,822.5,6730.0,826.0,826.0,822.5,5559523.5,5559523.5,5559523.5,0.0,3
TQBR,2022-10-14,Башнефт ап,BANEP,904.0,7250714.0,605.0,593.0,605.0,598.0,599.0,598.0,12107.0,599.0,599.0,598.0,7250714.0,7250714.0,7250714.0,0.0,3
TQTF,2022-10-14,BCSB ETF,BCSB,163.0,409093.4,10.404,10.4,10.45,10.418,10.412,10.422,39287.0,,10.402,10.418,0.0,519251.11,0.0,376239.18,3
TQBR,2022-10-14,Белуга ао,BELU,1879.0,28482482.0,2700.0,2661.0,2700.0,2686.0,2681.0,2686.0,10625.0,2681.0,2681.0,2686.0,28482482.0,28482482.0,28482482.0,0.0,3
TQBR,2022-10-14,БашИнСв ап,BISVP,51.0,161116.0,7.36,7.0,7.37,7.06,7.07,7.06,22800.0,,7.05,7.06,0.0,500237.0,0.0,0.0,3
TQBR,2022-10-14,Белон ао,BLNG,112.0,398359.0,8.55,8.365,8.635,8.505,8.55,8.505,46600.0,,8.555,8.505,0.0,501294.5,0.0,0.0,3
TQTF,2022-10-14,BOND ETF,BOND,37.0,519477.0,1012.0,1012.0,1013.8,1013.2,1012.6,1012.2,513.0,,1012.6,1013.2,0.0,627782.4,0.0,2549324.81,3
TQBR,2022-10-14,БурЗолото,BRZL,153.0,536547.0,743.0,712.0,766.0,726.0,727.0,726.0,738.0,727.0,727.0,726.0,536547.0,536547.0,536547.0,0.0,3
SMAL,2022-10-14,БСП ао,BSPB,1.0,82.99,82.99,82.99,82.99,,82.91,82.99,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,БСП ао,BSPB,2549.0,17073806.3,82.05,81.22,85.4,82.3,82.91,82.3,205920.0,82.91,82.91,82.3,17073806.3,17073806.3,17073806.3,0.0,3
TQBR,2022-10-14,БСП ап,BSPBP,29.0,86550.0,13.15,13.1,13.6,13.3,13.3,13.3,6500.0,,13.25,13.3,0.0,500240.0,0.0,0.0,3
SMAL,2022-10-14,МКБ ао,CBOM,1.0,5.61,5.605,5.605,5.605,,5.925,5.605,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,МКБ ао,CBOM,6374.0,356317553.0,5.96,5.877,5.995,5.939,5.925,5.943,60139300.0,5.924,5.924,5.939,328846069.8,328846069.8,328846069.8,0.0,3
TQBR,2022-10-14,РН-ЗапСиб,CHGZ,25.0,86066.0,34.2,33.6,34.4,33.6,33.8,34.0,2550.0,,34.0,33.6,0.0,503740.0,0.0,0.0,3
TQBR,2022-10-14,ЧКПЗ ао,CHKZ,9.0,54400.0,5900.0,5900.0,6180.0,5940.0,6040.0,5940.0,9.0,,5880.0,5940.0,0.0,500220.0,0.0,0.0,3
TQBR,2022-10-14,СевСт-ао,CHMF,37624.0,906934784.0,592.8,586.0,616.0,603.0,600.8,616.0,1509581.0,600.0,600.0,603.0,804604038.6,804604038.6,804604038.6,0.0,3
TQBR,2022-10-14,ЧМК ао,CHMK,602.0,6694365.0,3240.0,3110.0,3600.0,3405.0,3445.0,3405.0,1943.0,3445.0,3445.0,3405.0,6694365.0,6694365.0,6694365.0,0.0,3
TQBR,2022-10-14,CIAN-адр,CIAN,1197.0,7345913.0,387.0,373.2,392.0,382.8,382.2,379.8,19219.0,382.4,382.4,382.8,6536691.2,6536691.2,6536691.2,0.0,3
TQBR,2022-10-14,Телеграф,CNTL,99.0,352836.0,9.22,9.16,9.36,9.24,9.26,9.24,38100.0,,9.24,9.24,0.0,507808.0,0.0,0.0,3
TQBR,2022-10-14,Телеграф-п,CNTLP,273.0,1639726.0,5.94,5.94,6.1,6.02,6.02,6.02,272500.0,6.02,6.02,6.02,1639726.0,1639726.0,1639726.0,0.0,3
TQPI,2022-10-14,ДагСб ао,DASB,1410.0,6232821.8,0.1318,0.124,0.1338,0.1262,0.1285,0.1262,48523000.0,0.1285,0.1285,0.1262,6232821.8,6232821.8,6232821.8,0.0,3
TQBR,2022-10-14,ЗаводДИОД,DIOD,76.0,150655.0,7.1,6.95,7.24,7.09,7.07,7.08,21300.0,,7.03,7.09,0.0,503210.0,0.0,0.0,3
TQTF,2022-10-14,ETF DIVD,DIVD,123.0,447195.8,667.8,661.6,675.0,671.8,667.4,671.2,670.0,,668.4,671.8,0.0,503322.8,0.0,993890.66,3
TQBR,2022-10-14,ДетскийМир,DSKY,4227.0,42050129.6,69.7,68.88,69.88,69.54,69.42,69.82,605680.0,69.42,69.42,69.54,35455578.4,35455578.4,35455578.4,0.0,3
TQBR,2022-10-14,ДЭК ао,DVEC,353.0,2498755.0,0.879,0.825,0.885,0.86,0.862,0.86,2898000.0,0.862,0.862,0.86,2498755.0,2498755.0,2498755.0,0.0,3
TQBR,2022-10-14,ДонскЗР,DZRD,4.0,6990.0,1740.0,1730.0,1785.0,1735.0,1750.0,1735.0,4.0,,1730.0,1735.0,0.0,500305.0,0.0,0.0,3
TQBR,2022-10-14,ДонскЗР п,DZRDP,1.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1.0,,1500.0,1540.0,0.0,502240.0,0.0,0.0,3
TQBR,2022-10-14,ЕвроЭлтех,EELT,154.0,159604.4,5.12,5.0,5.12,5.04,5.04,5.04,31730.0,,5.02,5.04,0.0,721815.8,0.0,0.0,3
TQBR,2022-10-14,Электрцинк,ELTZ,912.0,4636357.5,253.5,241.5,254.5,248.0,248.0,248.0,18697.0,248.0,248.0,248.0,4636357.5,4636357.5,4636357.5,0.0,3
TQBR,2022-10-14,ЭН+ГРУП ао,ENPG,2227.0,20788408.5,365.0,357.0,369.0,362.0,361.5,362.0,57504.0,361.5,361.5,362.0,18576507.0,18576507.0,18576507.0,0.0,3
TQBR,2022-10-14,ЭнелРос ао,ENRU,1134.0,5707093.6,0.4434,0.4344,0.4472,0.438,0.4382,0.438,13023000.0,0.4382,0.4382,0.438,5707093.6,5707093.6,5707093.6,0.0,3
TQTF,2022-10-14,EQMX ETF,EQMX,2746.0,11928302.4,81.05,79.9,82.05,80.5,80.6,80.9,148031.0,80.55,80.55,80.5,10750095.95,10750095.95,10750095.95,30951098.12,3
TQTF,2022-10-14,ESGE ETF,ESGE,140.0,250939.81,57.74,56.54,57.74,57.11,56.86,57.1,4413.0,,56.92,57.11,0.0,521534.32,0.0,566471.29,3
TQTF,2022-10-14,ESGR ETF,ESGR,13.0,30380.0,825.0,819.0,825.0,822.5,821.0,822.5,37.0,,802.0,822.5,0.0,505243.5,0.0,94675.54,3
TQBR,2022-10-14,ETLN-гдр,ETLN,3066.0,12018483.56,50.7,49.14,50.7,50.24,49.82,50.24,241272.0,49.82,49.82,50.24,12018483.56,12018483.56,12018483.56,0.0,3
SMAL,2022-10-14,Россети,FEES,22.0,156.68,0.08498,0.0822,0.08498,,0.0819,0.08498,1849.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Россети,FEES,2048.0,22172602.6,0.08278,0.08114,0.08278,0.0816,0.0819,0.08246,270750000.0,0.08188,0.08188,0.0816,20513063.8,20513063.8,20513063.8,0.0,3
SMAL,2022-10-14,ДВМП ао,FESH,1.0,37.3,37.3,37.3,37.3,,35.78,37.3,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,ДВМП ао,FESH,3006.0,50082624.0,36.4,35.2,36.78,35.61,35.78,35.61,1399700.0,35.78,35.78,35.61,50082624.0,50082624.0,50082624.0,0.0,3
TQBR,2022-10-14,FIVE-гдр,FIVE,12813.0,272859651.5,1480.0,1480.0,1515.0,1494.0,1500.5,1514.5,181907.0,1499.5,1499.5,1494.0,244658826.5,244658826.5,244658826.5,0.0,3
TQBR,2022-10-14,FIXP-гдр,FIXP,1817.0,7755812.1,337.0,330.6,340.0,337.1,335.7,339.0,23103.0,335.5,335.5,337.1,6633012.4,6633012.4,6633012.4,0.0,3
SMAL,2022-10-14,Совкомфлот,FLOT,2.0,77.96,38.97,38.97,38.99,,35.32,38.99,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Совкомфлот,FLOT,5775.0,58405966.5,35.1,34.4,36.4,34.42,35.32,34.42,1653850.0,35.32,35.32,34.42,58405966.5,58405966.5,58405966.5,0.0,3
TQTF,2022-10-14,FMRU ETF,FMRU,61.0,5810.59,8.146,5.8,8.146,5.834,5.84,5.834,995.0,,5.786,5.834,0.0,501877.77,0.0,42308.18,3
TQTF,2022-10-14,FMUS ETF,FMUS,21.0,29062.93,8.832,8.586,9.0,8.664,8.714,8.664,3335.0,,7.984,8.664,0.0,669325.42,0.0,40058.31,3
TQBR,2022-10-14,ГАЗ ао,GAZA,19.0,70230.0,318.5,314.0,323.5,322.0,319.0,322.0,220.0,,317.5,322.0,0.0,536385.0,0.0,0.0,3
TQBR,2022-10-14,ГАЗ ап,GAZAP,9.0,31590.0,210.5,210.0,214.0,213.0,210.5,213.0,150.0,,211.5,213.0,0.0,505255.0,0.0,0.0,3
SMAL,2022-10-14,ГАЗПРОМ ао,GAZP,45.0,10695.94,160.5,158.53,162.98,,159.67,158.79,67.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,ГАЗПРОМ ао,GAZP,66548.0,2459720807.5,161.0,158.64,161.16,159.38,159.67,159.6,15405020.0,159.68,159.68,159.38,2255806628.0,2255806628.0,2255806628.0,0.0,3
TQBR,2022-10-14,ЧеркизГ-ао,GCHE,488.0,4062089.5,2547.0,2512.5,2561.5,2540.5,2537.0,2540.5,1601.0,2537.0,2537.0,2540.5,4062089.5,4062089.5,4062089.5,0.0,3
TQBR,2022-10-14,iММЦБ ао,GEMA,1252.0,7797300.0,801.0,783.5,824.5,795.0,801.0,795.0,9736.0,801.0,801.0,795.0,7797300.0,7797300.0,7797300.0,0.0,3
TQBR,2022-10-14,GEMC-гдр,GEMC,1436.0,5694572.6,345.8,340.0,416.2,357.6,356.1,357.6,15991.0,356.1,356.1,357.6,5694572.6,5694572.6,5694572.6,0.0,3
TQBR,2022-10-14,GLTR-гдр,GLTR,4500.0,26013186.15,304.0,293.05,306.85,297.25,299.3,298.55,86775.0,299.9,299.9,297.25,23651756.6,23651756.6,23651756.6,0.0,3
TQBR,2022-10-14,ГМКНорНик,GMKN,15566.0,830026254.0,12650.0,12340.0,12688.0,12546.0,12516.0,12640.0,66312.0,12510.0,12510.0,12546.0,763704212.0,763704212.0,763704212.0,0.0,3
TQTF,2022-10-14,GOLD ETF,GOLD,13768.0,20340612.86,0.8671,0.85,0.8778,0.8521,0.8565,0.8516,23747598.0,0.8577,0.8577,0.8521,16482148.93,16482148.93,16482148.93,40600401.43,3
TQTF,2022-10-14,GPBR ETF,GPBR,78.0,402778.33,10.67,10.66,10.89,10.89,10.88,10.89,37011.0,,10.86,10.89,0.0,500118.74,0.0,122470.03,3
TQPI,2022-10-14,ГИТ ао,GRNT,814.0,2185464.05,0.1685,0.165,0.171,0.166,0.1665,0.166,13113800.0,0.1665,0.1665,0.166,2185464.05,2185464.05,2185464.05,0.0,3
TQTF,2022-10-14,ETF GROD,GROD,41.0,154645.0,527.4,522.2,532.0,527.0,529.6,531.0,292.0,,529.0,527.0,0.0,529615.0,0.0,343255.68,3
TQBR,2022-10-14,ГТМ ао,GTRK,253.0,311297.5,26.7,25.9,26.9,26.65,26.45,26.65,11760.0,,26.45,26.65,0.0,521622.5,0.0,0.0,3
TQBR,2022-10-14,iHHRU-адр,HHRU,184.0,1678745.0,1205.0,1170.0,1210.0,1189.0,1188.0,1194.0,1413.0,1186.0,1186.0,1189.0,1483862.0,1483862.0,1483862.0,0.0,3
TQBR,2022-10-14,Химпром ап,HIMCP,56.0,133376.0,7.56,7.52,7.69,7.62,7.62,7.62,17500.0,,7.45,7.62,0.0,500168.0,0.0,0.0,3
TQBR,2022-10-14,HMSG-гдр,HMSG,27.0,30790.0,72.5,70.0,72.5,72.0,71.5,72.0,430.0,,68.0,72.0,0.0,500705.0,0.0,0.0,3
SMAL,2022-10-14,РусГидро,HYDR,1.0,53.13,0.69,0.69,0.69,,0.683,0.69,77.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,РусГидро,HYDR,6575.0,81443909.7,0.6853,0.6753,0.6916,0.6865,0.683,0.6863,119245000.0,0.6828,0.6828,0.6865,75122650.0,75122650.0,75122650.0,0.0,3
TQPI,2022-10-14,Инв-Девел,IDVP,1.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,1.0,,,40000.0,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Ижсталь2ао,IGST,32.0,126428.0,2576.0,2576.0,2690.0,2630.0,2634.0,2630.0,48.0,,2600.0,2630.0,0.0,501758.0,0.0,0.0,3
TQBR,2022-10-14,Ижсталь ап,IGSTP,15.0,33968.0,2116.0,2100.0,2158.0,2158.0,2124.0,2158.0,16.0,,2180.0,2158.0,0.0,501524.0,0.0,0.0,3
TQTF,2022-10-14,INFL ETF,INFL,277.0,810665.5,104.43,104.43,117.32,116.39,116.17,116.39,6978.0,116.17,116.17,116.39,810665.5,810665.5,810665.5,757702.75,3
TQTF,2022-10-14,INGO ETF,INGO,376.0,899383.81,108.68,108.12,108.86,108.8,108.74,108.8,8271.0,108.74,108.74,108.8,899383.81,899383.81,899383.81,1226714.55,3
TQBR,2022-10-14,ИНГРАД ао,INGR,691.0,20699404.0,1326.0,1298.0,1337.0,1302.0,1305.0,1302.0,15866.0,1305.0,1305.0,1302.0,20699404.0,20699404.0,20699404.0,0.0,3
TQTF,2022-10-14,INRU ETF,INRU,6.0,515.7,85.9,85.9,86.0,86.0,85.95,86.0,6.0,,81.79,86.0,0.0,737574.71,0.0,122687.32,3
SMAL,2022-10-14,ИнтерРАОао,IRAO,5.0,503.97,2.5505,2.5505,2.8445,,2.822,2.8445,186.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,ИнтерРАОао,IRAO,32700.0,405163050.15,2.7985,2.7615,2.8765,2.812,2.822,2.8365,143578700.0,2.8215,2.8215,2.812,388512566.05,388512566.05,388512566.05,0.0,3
TQBR,2022-10-14,ИРКУТ-3,IRKT,830.0,11177868.0,35.12,33.3,35.5,33.46,33.96,33.46,329200.0,33.96,33.96,33.46,11177868.0,11177868.0,11177868.0,0.0,3
TQBR,2022-10-14,iИСКЧ ао,ISKJ,2398.0,21316957.4,58.08,58.08,60.0,58.22,59.06,58.22,360990.0,59.06,59.06,58.22,21316957.4,21316957.4,21316957.4,0.0,3
TQBR,2022-10-14,Славн-ЯНОС,JNOS,28.0,548965.0,13.45,13.35,13.8,13.75,13.7,13.75,40000.0,13.7,13.7,13.75,548965.0,548965.0,548965.0,0.0,3
TQBR,2022-10-14,Слав-ЯНОСп,JNOSP,45.0,281352.0,9.64,9.32,9.88,9.36,9.54,9.36,29500.0,,9.52,9.36,0.0,514836.0,0.0,0.0,3
TQBR,2022-10-14,Куйбазот,KAZT,354.0,3761354.0,401.4,396.2,407.6,402.0,402.8,402.0,9340.0,402.8,402.8,402.0,3761354.0,3761354.0,3761354.0,0.0,3
TQBR,2022-10-14,Куйбазот-п,KAZTP,139.0,1149734.0,404.2,401.4,412.0,409.2,406.2,409.2,2830.0,406.2,406.2,409.2,1149734.0,1149734.0,1149734.0,0.0,3
TQBR,2022-10-14,ТНСэКубань,KBSB,6.0,8335.0,138.5,138.5,139.5,139.5,139.0,139.5,60.0,,134.5,139.5,0.0,501285.0,0.0,0.0,3
TQBR,2022-10-14,КамчатЭ ао,KCHE,6.0,20085.0,0.1425,0.1425,0.144,0.144,0.1435,0.144,140000.0,,0.14,0.144,0.0,500645.0,0.0,0.0,3
TQBR,2022-10-14,КамчатЭ ап,KCHEP,4.0,11170.0,0.279,0.278,0.28,0.278,0.279,0.278,40000.0,,0.282,0.278,0.0,501420.0,0.0,0.0,3
TQBR,2022-10-14,КурганГКао,KGKC,16.0,17470.0,33.6,32.6,33.6,33.2,33.0,33.2,530.0,,35.4,33.2,0.0,511548.0,0.0,0.0,3
TQBR,2022-10-14,КурганГКап,KGKCP,33.0,70654.0,32.8,31.4,32.8,32.0,32.0,32.0,2210.0,,32.0,32.0,0.0,500026.0,0.0,0.0,3
TQBR,2022-10-14,КалужскСК,KLSB,55.0,567802.0,8.41,8.24,8.42,8.34,8.35,8.34,68000.0,8.35,8.35,8.34,567802.0,567802.0,567802.0,0.0,3
SMAL,2022-10-14,КАМАЗ,KMAZ,2.0,170.0,85.0,85.0,85.0,,84.1,85.0,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,КАМАЗ,KMAZ,862.0,8429467.0,84.0,83.2,85.5,83.4,84.1,83.4,100250.0,84.1,84.1,83.4,8429467.0,8429467.0,8429467.0,0.0,3
TQBR,2022-10-14,КМЗ,KMEZ,74.0,147167.0,865.0,863.0,910.0,887.0,887.0,887.0,166.0,,878.0,887.0,0.0,500213.0,0.0,0.0,3
TQBR,2022-10-14,КосогМЗ ао,KMTZ,23.0,80809.8,182.04,182.03,186.0,184.62,183.66,184.62,440.0,,184.25,184.62,0.0,501167.8,0.0,0.0,3
TQBR,2022-10-14,КоршГОК ао,KOGK,7.0,288400.0,32200.0,31200.0,32400.0,32400.0,32000.0,32400.0,9.0,32200.0,32200.0,32400.0,675400.0,514800.0,675400.0,0.0,3
TQBR,2022-10-14,СаратНПЗ-п,KRKNP,40.0,412080.0,10000.0,10000.0,10100.0,10060.0,10060.0,10060.0,41.0,,10040.0,10060.0,0.0,612160.0,0.0,0.0,3
TQBR,2022-10-14,ТКЗКК ап,KRKOP,32.0,58677.0,8.4,8.35,8.45,8.35,8.38,8.35,7000.0,,8.33,8.35,0.0,501351.0,0.0,0.0,3
TQBR,2022-10-14,КрасОкт-ао,KROT,62.0,294860.0,302.0,302.0,305.5,304.0,304.0,304.0,970.0,,303.5,304.0,0.0,510070.0,0.0,0.0,3
TQBR,2022-10-14,КрасОкт-1п,KROTP,5.0,19940.0,247.0,247.0,252.5,252.5,249.5,252.5,80.0,,248.5,252.5,0.0,508940.0,0.0,0.0,3
TQBR,2022-10-14,Красэсб ао,KRSB,48.0,400145.0,7.28,7.24,7.49,7.34,7.32,7.34,54700.0,,7.3,7.34,0.0,504896.0,0.0,0.0,3
TQBR,2022-10-14,Красэсб ап,KRSBP,12.0,18914.0,8.18,7.82,8.18,7.84,7.88,7.84,2400.0,,7.9,7.84,0.0,502746.0,0.0,0.0,3
TQBR,2022-10-14,КСБ ао,KTSB,31.0,26418.0,0.456,0.454,0.474,0.472,0.464,0.472,57000.0,,0.466,0.472,0.0,500090.0,0.0,0.0,3
TQBR,2022-10-14,КСБ ап,KTSBP,17.0,62560.0,0.2295,0.221,0.2295,0.224,0.2235,0.224,280000.0,,0.2295,0.224,0.0,500430.0,0.0,0.0,3
TQBR,2022-10-14,РСетКубань,KUBE,6.0,6229.0,51.4,51.4,52.2,52.0,51.9,52.2,120.0,,51.1,52.0,0.0,502171.0,0.0,0.0,3
TQBR,2022-10-14,КузнецкийБ,KUZB,188.0,281937.0,0.01514,0.0147,0.01534,0.015,0.01504,0.015,18740000.0,,0.01501,0.015,0.0,501320.9,0.0,0.0,3
TQBR,2022-10-14,ОргСинт ао,KZOS,331.0,2093070.0,78.4,77.9,80.0,79.0,78.7,79.0,26600.0,78.7,78.7,79.0,2093070.0,2093070.0,2093070.0,0.0,3
TQBR,2022-10-14,ОргСинт ап,KZOSP,789.0,3718431.5,17.41,17.26,17.98,17.5,17.54,17.5,211980.0,17.54,17.54,17.5,3718431.5,3718431.5,3718431.5,0.0,3
TQBR,2022-10-14,Лента ао,LENT,902.0,3775465.5,749.0,725.5,752.5,727.5,735.0,727.5,5135.0,735.0,735.0,727.5,3775465.5,3775465.5,3775465.5,0.0,3
TQBR,2022-10-14,iФармсинтз,LIFE,599.0,3031388.0,3.815,3.8,3.94,3.83,3.84,3.83,789100.0,3.84,3.84,3.83,3031388.0,3031388.0,3031388.0,0.0,3
TQBR,2022-10-14,ЛУКОЙЛ,LKOH,30046.0,2004313473.0,4199.0,4090.0,4203.0,4140.0,4131.0,4139.0,485061.0,4131.5,4131.5,4140.0,1818214681.0,1818214681.0,1818214681.0,0.0,3
TQBR,2022-10-14,Лензолото,LNZL,6111.0,155617160.0,11900.0,10600.0,12280.0,10600.0,11250.0,10600.0,13838.0,11250.0,11250.0,10600.0,155617160.0,155617160.0,155617160.0,0.0,3
TQBR,2022-10-14,Лензол. ап,LNZLP,2605.0,23888025.0,1565.0,1405.0,1630.0,1420.0,1510.0,1420.0,15837.0,1510.0,1510.0,1420.0,23888025.0,23888025.0,23888025.0,0.0,3
TQBR,2022-10-14,ЛЭСК ао,LPSB,29.0,123000.0,8.8,8.45,8.8,8.7,8.6,8.7,14300.0,,8.65,8.7,0.0,501480.0,0.0,0.0,3
TQTF,2022-10-14,LQDT ETF,LQDT,144449.0,144095071.66,1.1874,1.1873,1.1875,1.1873,1.1874,1.1874,121357486.0,1.1874,1.1874,1.1873,130328100.06,130328100.06,130328100.06,208040498.11,3
TQBR,2022-10-14,РСетиЛЭ,LSNG,470.0,4400649.0,5.84,5.8,6.15,5.85,5.91,5.85,745000.0,5.91,5.91,5.85,4400649.0,4400649.0,4400649.0,0.0,3
TQBR,2022-10-14,РСетиЛЭ-п,LSNGP,749.0,6705983.0,124.0,121.3,124.0,122.5,122.55,122.5,54710.0,122.55,122.55,122.5,6705983.0,6705983.0,6705983.0,0.0,3
TQBR,2022-10-14,ЛСР ао,LSRG,1364.0,8049258.8,465.0,457.0,469.6,460.6,460.8,460.6,17466.0,460.8,460.8,460.6,8049258.8,8049258.8,8049258.8,0.0,3
TQBR,2022-10-14,Левенгук,LVHK,29.0,113918.0,12.16,12.07,12.49,12.49,12.25,12.49,9300.0,,12.16,12.49,0.0,513095.0,0.0,0.0,3
TQBR,2022-10-14,МагадЭн ао,MAGE,18.0,55085.0,4.18,4.18,4.23,4.22,4.2,4.22,13100.0,,4.24,4.22,0.0,501426.0,0.0,0.0,3
TQBR,2022-10-14,МагадЭн ап,MAGEP,7.0,9607.0,2.99,2.99,3.02,3.01,3.0,3.01,3200.0,,2.97,3.01,0.0,501805.0,0.0,0.0,3
SMAL,2022-10-14,ММК,MAGN,3.0,80.26,26.845,26.7,26.845,,26.02,26.705,3.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,ММК,MAGN,25165.0,409344286.95,26.1,25.59,26.485,26.11,26.02,26.155,15732130.0,26.015,26.015,26.11,393729425.4,393729425.4,393729425.4,0.0,3
TQTF,2022-10-14,MBGB ETF,MBGB,1.0,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1.0,,,1073.5,0.0,0.0,0.0,1337.92,3
TQBR,2022-10-14,MDMG-гдр,MDMG,4098.0,15884692.5,442.9,433.1,448.5,440.1,438.6,440.1,36215.0,438.6,438.6,440.1,15884692.5,15884692.5,15884692.5,0.0,3
TQPI,2022-10-14,МЕРИДИАН,MERF,70.0,54342.5,9.4,9.1,9.4,9.25,9.25,9.25,5890.0,,9.35,9.25,0.0,539499.5,0.0,0.0,3
